Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Label
53,195,2,92,46,46,46.0,0.0,62,62,62.0,0.0,1107692.308,20512.82051,65.0,28.58321186,98,48,49,49.0,0.0,49,49,48,48.0,0.0,48.0,48.0,40.0,40.0,10256.41026,10256.41026,46.0,62.0,52.4,8.76356092,76.8,0.0,0.0,0.0,65.5,92.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,62175,4,136,34,34,34.0,0.0,140,140,140.0,0.0,6690.792119,96.50180941,12435.0,17008.82487,31752,3,30420,10140.0,17517.11029,30367,4,3,3.0,0.0,3.0,3.0,80.0,40.0,64.33453961,32.1672698,34.0,140.0,64.28571429,51.72270387,2675.238095,0.0,0.0,0.0,75.0,136.0,-1.0,-1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39590,22,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09091,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,32.0,32.0,45454.54545,45454.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,118.0,305.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3659,67,1,2,2,2,2.0,0.0,6,6,6.0,0.0,119402.9851,29850.74627,67.0,0.0,67,67,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24.0,20.0,14925.37313,14925.37313,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,1.0,0.0,5.0,2.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9041,2612,2,12,6,6,6.0,0.0,0,0,0.0,0.0,4594.180704,765.6967841,2612.0,0.0,2612,2612,2612,2612.0,0.0,2612,2612,0,0.0,0.0,0.0,0.0,40.0,0.0,765.6967841,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9.0,12.0,123.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
443,122120,5,3140,2566,0,628.0,1104.803376,182,0,60.33333333,78.8483777,28676.71143,90.07533574,12212.0,17882.14985,38178,3,76716,19179.0,21844.25803,38479,132,84435,16887.0,20044.63291,39115.0,3.0,112.0,128.0,40.94333443,49.13200131,0.0,2566.0,291.8333333,731.4498471,535018.8788,0.0,1.0,0.0,318.3636364,3140.0,8192.0,71.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9502,120,1,0,0,0,0.0,0.0,6,6,6.0,0.0,50000.0,16666.66667,120.0,0.0,120,120,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,40.0,20.0,8333.333333,8333.333333,0.0,6.0,2.0,3.464101615,12.0,0.0,1.0,0.0,3.0,0.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1
24,56,1,2,2,2,2.0,0.0,6,6,6.0,0.0,142857.1429,35714.28571,56.0,0.0,56,56,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24.0,20.0,17857.14286,17857.14286,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,1.0,0.0,5.0,2.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44020,48,2,31,31,0,15.5,21.92031022,0,0,0.0,0.0,645833.3333,41666.66667,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0.0,0.0,64.0,0.0,41666.66667,0.0,0.0,31.0,20.66666667,17.89785834,320.3333333,0.0,0.0,1.0,31.0,31.0,972.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1
51103,47,1,2,2,2,2.0,0.0,6,6,6.0,0.0,170212.766,42553.19149,47.0,0.0,47,47,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24.0,20.0,21276.59574,21276.59574,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,1.0,0.0,5.0,2.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
123,36947,1,48,48,48,48.0,0.0,48,48,48.0,0.0,2598.316507,54.1315939,36947.0,0.0,36947,36947,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,32.0,32.0,27.06579695,27.06579695,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,72.0,48.0,-1.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3013,51,1,2,2,2,2.0,0.0,6,6,6.0,0.0,156862.7451,39215.68627,51.0,0.0,51,51,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24.0,20.0,19607.84314,19607.84314,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,1.0,0.0,5.0,2.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
144,55,1,2,2,2,2.0,0.0,6,6,6.0,0.0,145454.5455,36363.63636,55.0,0.0,55,55,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24.0,20.0,18181.81818,18181.81818,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,1.0,0.0,5.0,2.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1398,4,1,6,6,6,6.0,0.0,6,6,6.0,0.0,3000000.0,500000.0,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,20.0,20.0,250000.0,250000.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9.0,6.0,119.0,255.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2909,2,1,0,0,0,0.0,0.0,6,6,6.0,0.0,3000000.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,40.0,20.0,500000.0,500000.0,0.0,6.0,2.0,3.464101615,12.0,0.0,1.0,0.0,3.0,0.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4002,27,1,0,0,0,0.0,0.0,6,6,6.0,0.0,222222.2222,74074.07407,27.0,0.0,27,27,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,40.0,20.0,37037.03704,37037.03704,0.0,6.0,2.0,3.464101615,12.0,0.0,1.0,0.0,3.0,0.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1
443,115987422,31,838,453,0,27.03225806,90.66880532,2836,0,922.1621622,761.9160975,301.3947495,0.586270466,1731155.552,3752817.101,10000000,2,116000000,3866247.4,4876523.412,10100000,3,111000000,3074753.944,4691667.01,10100000.0,2.0,1000.0,1192.0,0.26727036,0.319000107,0.0,2836.0,506.6376812,716.6198428,513543.9991,0.0,1.0,0.0,514.0882353,838.0,29200.0,357.0,4.0,32.0,49721.66667,191840.0,36737.0,9615896.583,10000000.0,5259253.0,1
443,62380141,18,761,367,0,42.27777778,96.17374324,1759,0,444.4705882,642.6487296,133.3276884,0.561076,1834710.029,3822010.2,10100000,3,62400000,3669420.059,4849163.63,10200000,958,62300000,3893442.062,4927972.875,10200000.0,48.0,396.0,424.0,0.288553371,0.272522629,0.0,1759.0,231.0277778,485.0429428,235266.6563,0.0,1.0,0.0,237.6285714,761.0,8192.0,114.0,15.0,20.0,356582.0,1716077.0,84566.0,9965199.167,10100000.0,9717123.0,1
53,71387,4,148,37,37,37.0,0.0,130,130,130.0,0.0,5715.32632,84.04891647,14277.4,21296.01915,47648,4,47656,15885.33333,27507.27623,47648,4,4,4.0,0.0,4.0,4.0,104.0,40.0,56.03261098,28.01630549,37.0,130.0,63.57142857,45.37935339,2059.285714,0.0,0.0,0.0,74.16666667,148.0,-1.0,-1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
179,71,1,2,2,2,2.0,0.0,6,6,6.0,0.0,112676.0563,28169.01408,71.0,0.0,71,71,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24.0,20.0,14084.50704,14084.50704,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,1.0,0.0,5.0,2.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
443,30960,3,92,86,0,30.66666667,48.01388688,7,0,4.75,3.201562119,3585.271318,226.0981912,5160.0,7660.473327,15084,3,15613,7806.5,10491.34331,15225,388,15876,5292.0,8877.4186,15541.0,3.0,84.0,92.0,96.89922481,129.1989664,0.0,86.0,13.875,29.30839714,858.9821429,0.0,1.0,0.0,15.85714286,92.0,65535.0,29.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1021,27,1,2,2,2,2.0,0.0,6,6,6.0,0.0,296296.2963,74074.07407,27.0,0.0,27,27,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24.0,20.0,37037.03704,37037.03704,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,1.0,0.0,5.0,2.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2191,72,1,2,2,2,2.0,0.0,6,6,6.0,0.0,111111.1111,27777.77778,72.0,0.0,72,72,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24.0,20.0,13888.88889,13888.88889,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,1.0,0.0,5.0,2.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8011,66,1,0,0,0,0.0,0.0,6,6,6.0,0.0,90909.09091,30303.0303,66.0,0.0,66,66,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,40.0,20.0,15151.51515,15151.51515,0.0,6.0,2.0,3.464101615,12.0,0.0,1.0,0.0,3.0,0.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1
54898,61,1,6,6,6,6.0,0.0,6,6,6.0,0.0,196721.3115,32786.88525,61.0,0.0,61,61,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,20.0,20.0,16393.44262,16393.44262,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9.0,6.0,351.0,254.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
700,66,1,2,2,2,2.0,0.0,6,6,6.0,0.0,121212.1212,30303.0303,66.0,0.0,66,66,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24.0,20.0,15151.51515,15151.51515,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,1.0,0.0,5.0,2.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
